ЛОТ_ID;Процент_завершения;Базовая_длительность;Базовое_начало;Базовое_окончание;Начало;Окончание;Длительность;Причины_отклонений;Заметки;Уровень_структуры;БЛОК;Ид;Уникальный_идентификатор;Предшественники;Последователи;Дата_ограничения;Название;ЛОТ;ID_проекта;Уровень;Шифр_ПД_и_РД
;0%;1371 д;01.03.24;01.09.27;01.03.24;01.12.27;1371 д;;;5;Ковенанты;11;4767773e-b0d6-40f0-b452-9c62fdebeac9;;;НД;Заключение о соответствии;;a1111111-1111-4111-8111-111111111101;5;
;0%;1401 д;01.03.24;30.09.27;01.03.24;31.12.27;1401 д;;;5;Ковенанты;12;f9687871-68ba-49c5-82d2-cbd6523e7a96;;;НД;Разрешение на ввод в эксплуатацию;;a1111111-1111-4111-8111-111111111101;5;
;100%;366 д;01.03.24;01.03.25;01.03.24;01.03.25;366 д;;;5;Ковенанты;13;5fc30747-a59f-4fb0-a341-862ac34dfd3a;;;НД;Право 1;;a1111111-1111-4111-8111-111111111101;5;
;0%;1006 д;01.03.24;01.10.26;01.03.24;01.12.26;1006 д;;;5;Ковенанты;14;98559620-e5b8-41e7-8399-de0d212998de;;;НД;Выкуп ЗУ;;a1111111-1111-4111-8111-111111111101;5;
;50%;823 д;01.03.24;01.04.26;01.03.24;01.06.26;823 д;;;5;Ковенанты;15;c00f4941-3d82-4f2b-92bd-2babfff0ebf1;;;НД;Право 2;;a1111111-1111-4111-8111-111111111101;5;
;100%;290 д;01.03.24;30.11.24;01.03.24;15.12.24;290 д;;;5;Ковенанты;16;2efbbc51-5688-4ad5-ae89-8a553d8f3ccb;;;НД;Регистрация договора субаренды;;a1111111-1111-4111-8111-111111111101;5;
;100%;365 д;01.03.24;31.01.25;01.03.24;28.02.25;365 д;;;5;Ковенанты;17;12a53983-170b-4959-b8c5-a243a85cf5d6;;;НД;Рассмотрение и утверждение на инвестиционном комитете;;a1111111-1111-4111-8111-111111111101;5;
;100%;441 д;01.03.24;30.04.25;01.03.24;15.05.25;441 д;;;5;Ковенанты;18;c8082bab-ed6e-4db9-8468-b03a53c0e747;;;НД;Подбор команды;;a1111111-1111-4111-8111-111111111101;5;
;100%;303 д;01.03.24;31.12.24;01.03.24;28.12.24;303 д;;;5;Ковенанты;19;9a11eae0-d76c-4f3e-9741-a02246daadb8;;;НД;Экспертиза ПД;;a1111111-1111-4111-8111-111111111101;5;
;85%;533 д;01.03.24;30.06.25;01.03.24;15.08.25;533 д;;;5;Ковенанты;20;1e646b78-80ee-433f-9bd7-ddeecaeb5a59;;;НД;Стадия Рабочая Документация (РД);;a1111111-1111-4111-8111-111111111101;5;
;100%;107 д;01.03.24;01.06.24;01.03.24;15.06.24;107 д;;;5;Ковенанты;21;0701e19f-f431-46c7-8140-4d35c8eacba0;;;НД;Подготовка договора аренды;;a1111111-1111-4111-8111-111111111101;5;
;100%;365 д;01.03.24;31.01.25;01.03.24;28.02.25;365 д;;;5;Ковенанты;22;bf2d7c70-df08-480b-a2a5-9dcb68046a6f;;;НД;ГОТОВЫЙ ПРОДУКТ;;a1111111-1111-4111-8111-111111111101;5;
;100%;745 д;01.03.24;01.03.26;01.03.24;15.03.26;745 д;;;5;Ковенанты;23;42ce2376-2b4b-4d4c-8b93-2ead49269a41;;;НД;Начало СМР;;a1111111-1111-4111-8111-111111111101;5;
;0%;1309 д;01.03.24;01.06.27;01.03.24;30.09.27;1309 д;;;5;Ковенанты;24;a10a290b-e5f8-43aa-9624-25b917271471;;;НД;Передача боксов резидентам;;a1111111-1111-4111-8111-111111111101;5;
;42%;1294 д;01.03.24;30.06.27;01.03.24;15.09.27;1294 д;;;2;СМР;25;e0ace916-bb42-4162-a582-fef29b8ac3e9;;;НД;СМР;;a1111111-1111-4111-8111-111111111101;2;
;0%;1294 д;01.03.24;30.06.27;01.03.24;15.09.27;1294 д;;;3;СМР;26;bf0932f2-4e48-485a-ac92-0be08f4e81ae;;;НД;Корпус А;;a1111111-1111-4111-8111-111111111101;3;
;35%;791 д;01.03.24;15.03.26;01.03.24;30.04.26;791 д;Увеличение сроков по вине подрядчика;;5;СМР;27;2422be81-4c86-41c8-8d9e-65b769020945;;;НД;Монолитные работы корпус А;;a1111111-1111-4111-8111-111111111101;5;
;35%;811 д;01.03.24;01.05.26;01.03.24;20.05.26;811 д;Не передан фронт работ;;5;СМР;28;d453c462-1d9a-454d-bc40-5d9dfc7e88f7;;;НД;Устройство кровли;;a1111111-1111-4111-8111-111111111101;5;
;35%;847 д;01.03.24;10.06.26;01.03.24;25.06.26;847 д;Изменение объемов;;5;СМР;29;dbb4df61-7101-4b5d-b964-0cc06dacf923;;;НД;Внутренние сети;;a1111111-1111-4111-8111-111111111101;5;
;0%;1294 д;01.03.24;30.06.27;01.03.24;15.09.27;1294 д;;;2;Продукт;30;114abaa4-a3b3-4314-abc5-f6135a7aabe8;;;НД;ПРОДУКТ;;a1111111-1111-4111-8111-111111111101;2;
;100%;365 д;01.03.24;31.01.25;01.03.24;28.02.25;365 д;;;5;Продукт;31;0f6eef4c-7a8c-4ab7-b234-e6b70f5c2016;;;НД;Этап ГОТОВЫЙ ПРОДУКТ;;a1111111-1111-4111-8111-111111111101;5;
;0%;1294 д;01.03.24;30.06.27;01.03.24;15.09.27;1294 д;;;2;ИРД;32;a2d5bc7a-6284-4a0d-80a1-2d8c0934bbb6;;;НД;ИРД;;a1111111-1111-4111-8111-111111111101;2;
;90%;594 д;01.03.24;01.09.25;01.03.24;15.10.25;594 д;;;4;ИРД;33;83ea64ec-1ba7-4253-ab34-a0a1632a9a48;;;НД;Электроснабжение:;;a1111111-1111-4111-8111-111111111101;4;
;70%;630 д;01.03.24;01.10.25;01.03.24;20.11.25;630 д;;;4;ИРД;34;c2fb22ce-c297-4180-a1b9-2bafd1c08bd7;;;НД;Примыкания к УДС:;;a1111111-1111-4111-8111-111111111101;4;
;0%;1294 д;01.03.24;30.06.27;01.03.24;15.09.27;1294 д;;;2;ПРОЕКТ;35;621a70a1-9ce0-4e0d-ac31-93c90f9259d1;;;НД;ПРОЕКТ;;a1111111-1111-4111-8111-111111111101;2;
;80%;487 д;01.03.24;01.04.25;01.03.24;30.06.25;487 д;;;3;ПРОЕКТ;36;805a3ff5-f22e-41f2-a0ed-dd64e01d47e4;;;НД;Согласование ПЗУ, ПОС, ПОДД с КРМО, МОЭСК, Мособлгаз, Мосавтодор;;a1111111-1111-4111-8111-111111111101;3;
